TEMP;LENGTH;WEIGHT;SWIMMING_DURATION;O2_CONSUMPTION
6;9.9;5.7;1.6;2.12
1;9.3;6.4;3;3.39
-2;9.4;5.7;3.4;3.61
11;9.1;6.1;3.4;1.72
-1;6.9;6;3;1.8
2;9.3;5.7;4.4;3.21
5;7.9;5.9;2.2;2.59
1;7.4;6.2;2.2;3.25
1;7.3;5.5;1.9;2.86
3;8.8;5.2;0.2;2.32
11;9.8;5.7;4.2;1.57
9;10.5;6.1;2.4;1.5
5;9.1;6.4;3.4;2.69
-3;10.1;5.5;3;4.06
1;7.2;5.5;0.2;1.98
8;11.7;6;3.9;2.29
-2;8.7;5.5;2.2;3.55
3;7.6;6.2;4.4;3.31
6;8.6;5.9;0.2;1.83
10;10.9;5.6;2.4;1.69
4;7.6;5.8;2.4;2.42
5;7.3;5.8;4.4;2.98
5;9.2;5.2;1.6;1.84
3;7;6;1.9;2.48
8;7.2;5.5;1.6;2.83
8;7;6.4;4.1;2.41
6;8.8;6.2;1.9;1.78
6;10.1;5.4;2.2;2.22
3;12.1;5.4;4.1;2.72
5;7.7;6.2;1.6;2.36
1;7.8;6.8;2.4;2.81
8;11.5;6.2;1.9;1.64
10;10.4;6.4;2.2;1.82
